Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualFixedOperatingCost,TotalTechnologyAnnualActivity,NewCapacity,AnnualTechnologyEmission,Demand,CapitalInvestment,CapitalInvestmentStorage,AnnualVariableOperatingCost,TotalCapacityAnnual
Scenario1,0,RE1,,INDOTHBIOHTH,,2028,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2029,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2030,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2031,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2032,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2033,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2034,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2035,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2036,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2037,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2038,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2039,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2040,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2041,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2042,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2043,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2044,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2045,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2046,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2047,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2048,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2049,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2050,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2021,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2022,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2023,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2024,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2025,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2026,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2027,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2028,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2029,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2030,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2031,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2032,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2033,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2034,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2035,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2036,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2037,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHCOAHTH,,2038,,,,,,,,,,,,0.0,,,,,,
